Bowler,Predicted Runs,Wicket Probability,Tactical Score,Past Matchup Balls
Karan KC,0.7705738162479193,0.5793565636185268,0.7839066905233008,30
S Lamichhane,0.6874566908118628,0.5459309633500894,0.7835760084103095,15
DS Airee,0.7241118550499838,0.5567089417173264,0.7825329660926998,19
Kushal Malla,0.7191184488770845,0.5542916980639085,0.7823903570501793,0
Sompal Kami,0.7488616135499717,0.5642565891170496,0.7819097884876182,24
Aarif Sheikh,0.8713722096666958,0.5766228938885679,0.7713267770387892,15
Gulsan Jha,0.8430915595224129,0.534433433576141,0.7619693481285608,0
